index,location,bhk,total_sqft,bath,price,encoded_location
248,others,3,4050.0,3.0,280.0,230
249,OMBR Layout,3,2420.0,3.0,185.0,175
251,others,2,1060.0,2.0,55.0,230
252,7th Phase JP Nagar,2,1270.0,2.0,93.0,6
254,others,2,1280.0,2.0,69.0,230
255,Horamavu Agara,4,1200.0,2.0,95.0,98
256,Sarjapur  Road,2,1025.0,2.0,36.0,194
257,Electronic City,2,1108.0,2.0,63.0,74
259,others,3,3045.0,3.0,170.0,230
261,Vijayanagar,3,1500.0,3.0,75.5,220
262,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,184
263,Budigere,2,1162.0,2.0,59.9,52
264,Sarjapur  Road,2,1035.0,2.0,49.2,194
265,Attibele,4,1600.0,4.0,52.8,21
266,others,3,1464.0,3.0,46.0,230
267,Hennur Road,3,1866.0,2.0,61.58,96
268,others,2,700.0,1.0,26.0,230
269,Kalena Agrahara,3,1804.0,3.0,120.0,121
270,Sarjapur,2,913.0,2.0,32.0,193
271,Talaghattapura,3,1868.0,3.0,131.0,208
272,Kengeri Satellite Town,2,883.0,2.0,45.0,136
274,Kogilu,3,1664.0,2.0,73.95,142
275,Hegde Nagar,3,2026.0,3.0,132.0,94
276,Balagere,2,1210.0,2.0,80.9,25
277,others,4,4111.0,4.0,250.0,230
278,Kadugodi,3,1762.0,3.0,91.45,117
279,Jigani,3,1252.0,3.0,55.0,113
280,Gollarapalya Hosahalli,2,861.0,2.0,34.5,81
281,7th Phase JP Nagar,3,1420.0,2.0,100.0,6
283,Electronics City Phase 1,3,1490.0,3.0,78.8,76
284,Bisuvanahalli,3,1075.0,2.0,46.0,46
285,Old Madras Road,3,1425.0,2.0,94.0,177
286,Kalena Agrahara,2,1200.0,2.0,40.0,121
287,Kaggadasapura,3,1280.0,2.0,56.0,118
288,others,2,1084.0,2.0,50.0,230
290,Kanakpura Road,2,1017.0,2.0,51.25,127
291,Haralur Road,2,1027.0,2.0,44.0,90
292,Electronic City Phase II,2,1069.0,2.0,45.0,75
293,Hebbal,2,1349.0,2.0,98.2,92
294,9th Phase JP Nagar,2,1005.0,2.0,50.0,8
295,Jakkur,2,1417.0,2.0,75.0,110
296,TC Palaya,3,1475.0,3.0,98.0,207
297,others,2,950.0,2.0,47.0,230
298,others,4,2000.0,4.0,120.0,230
300,Sarjapur  Road,4,1863.0,3.0,104.0,194
301,Singasandra,2,1010.0,2.0,29.5,201
302,Kalena Agrahara,3,1425.0,2.0,70.0,121
303,Vijayanagar,3,1450.0,3.0,100.0,220
304,Kothanur,3,1847.0,3.0,105.0,146
305,AECS Layout,2,1100.0,2.0,45.0,9
306,Kanakpura Road,1,525.0,1.0,26.0,127
307,Mallasandra,3,1665.0,3.0,95.0,158
308,Begur,4,1664.0,4.0,65.0,38
309,JP Nagar,3,1850.0,3.0,150.0,109
310,Panathur,2,1438.0,2.0,100.0,180
311,others,3,1560.0,3.0,115.0,230
312,Yelahanka,2,1350.0,2.0,55.55,226
313,Kanakpura Road,3,1550.0,3.0,67.0,127
314,Malleshpalya,2,1140.0,2.0,46.5,159
316,others,2,850.0,2.0,27.0,230
317,Whitefield,2,1280.0,2.0,75.0,224
318,Munnekollal,2,1170.0,2.0,52.0,164
319,others,2,1113.0,2.0,51.0,230
320,Hennur Road,2,1385.0,2.0,83.09,96
321,Electronic City,2,1128.0,2.0,65.0,74
326,Haralur Road,3,1464.0,3.0,56.0,90
327,others,2,1200.0,2.0,55.0,230
328,Kaval Byrasandra,2,1200.0,2.0,52.0,133
329,Kaggalipura,3,1150.0,2.0,55.0,119
330,others,3,1645.0,3.0,95.0,230
331,Sarjapur  Road,2,1000.0,2.0,67.0,194
332,Haralur Road,4,2650.0,4.0,198.0,90
333,6th Phase JP Nagar,2,1192.0,2.0,74.0,5
335,Whitefield,2,1173.0,2.0,58.0,224
336,Uttarahalli,2,1020.0,2.0,45.0,216
338,Somasundara Palya,3,1600.0,3.0,64.0,202
339,others,2,1200.0,2.0,79.0,230
340,others,2,1230.0,2.0,48.0,230
341,Devarachikkanahalli,2,1250.0,2.0,40.0,66
342,Kalena Agrahara,2,1325.0,2.0,76.0,121
343,7th Phase JP Nagar,3,1850.0,3.0,150.0,6
344,Kanakpura Road,1,525.0,2.0,21.53,127
345,Basaveshwara Nagar,2,1200.0,2.0,65.0,36
347,Bommasandra,3,1260.0,3.0,49.36,48
350,Ardendale,2,1100.0,2.0,43.25,19
351,Harlur,2,1508.0,2.0,77.0,91
352,others,3,1592.0,3.0,75.0,230
353,Akshaya Nagar,2,1388.0,2.0,57.0,11
354,Electronic City Phase II,1,630.0,1.0,28.35,75
356,others,3,1762.0,3.0,125.0,230
357,others,2,950.0,2.0,50.0,230
359,Magadi Road,2,1116.0,2.0,50.0,155
360,others,2,1308.0,2.0,89.04,230
361,others,3,1200.0,3.0,90.0,230
363,Bannerghatta Road,1,500.0,1.0,18.5,34
364,Hennur,2,1075.0,2.0,52.0,95
366,Bellandur,2,1205.0,2.0,66.0,40
367,5th Phase JP Nagar,2,1075.0,2.0,60.0,4
368,KR Puram,2,930.0,2.0,39.0,115
369,Balagere,2,1380.0,2.0,60.0,25
371,Kodigehaali,2,1166.0,2.0,55.0,139
372,Bannerghatta Road,2,1050.0,2.0,65.0,34
374,Begur Road,2,1200.0,2.0,46.8,39
375,Lakshminarayana Pura,3,1600.0,2.0,108.0,153
376,Billekahalli,3,1935.0,3.0,110.0,44
377,8th Phase JP Nagar,1,451.0,1.0,29.9,7
378,Electronic City,3,1800.0,3.0,95.0,74
379,Jalahalli,3,1400.0,3.0,77.0,111
380,Hegde Nagar,3,1801.0,3.0,115.0,94
381,Mahadevpura,2,1451.0,2.0,90.0,156
382,Anekal,2,1200.0,1.0,36.0,17
383,Begur Road,2,1160.0,2.0,44.0,39
385,Kanakpura Road,2,950.0,2.0,40.0,127
386,others,3,1629.0,3.0,79.0,230
388,Vijayanagar,3,1826.0,3.0,121.0,220
389,7th Phase JP Nagar,2,1245.0,2.0,94.0,6
390,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,184
391,Sompura,2,825.0,2.0,33.0,203
392,Yeshwanthpur,3,1693.0,3.0,108.0,229
393,Electronics City Phase 1,2,1113.27,2.0,53.0,76
394,others,2,1460.0,2.0,58.0,230
395,Doddathoguru,2,1050.0,2.0,32.0,70
396,Dodda Nekkundi,2,1260.0,2.0,55.0,67
398,Hosur Road,2,1656.0,2.0,120.0,104
399,Chandapura,3,1208.0,3.0,45.0,55
401,Whitefield,4,3252.0,4.0,230.0,224
402,Battarahalli,2,1200.0,2.0,65.0,37
404,7th Phase JP Nagar,2,1175.0,2.0,82.0,6
411,others,2,1185.0,2.0,38.0,230
412,Kengeri,2,750.0,2.0,38.0,135
414,Kanakpura Road,3,1550.0,3.0,64.5,127
415,others,3,1760.0,3.0,88.0,230
416,Billekahalli,2,1125.0,2.0,62.0,44
418,Anandapura,2,1000.0,2.0,55.0,15
420,TC Palaya,2,1200.0,2.0,60.0,207
421,Budigere,3,1991.0,4.0,103.0,52
423,Ambalipura,2,1105.0,2.0,75.0,12
424,Hoodi,2,985.0,2.0,67.0,97
426,Balagere,3,1590.0,3.0,79.0,25
427,CV Raman Nagar,2,1120.0,2.0,55.0,53
428,others,2,1069.0,2.0,55.0,230
429,Marathahalli,3,1933.0,3.0,140.0,161
430,Hosur Road,2,1194.0,2.0,69.0,104
431,Brookefield,2,1150.0,2.0,69.0,51
432,Yelenahalli,2,1240.0,2.0,47.12,228
433,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,184
436,others,3,1450.0,3.0,55.0,230
437,others,3,1630.0,3.0,68.29,230
438,Dasanapura,2,708.0,1.0,40.0,63
440,Whitefield,4,11890.0,4.0,700.0,224
441,Bellandur,2,1250.0,2.0,76.0,40
442,7th Phase JP Nagar,3,1400.0,2.0,95.0,6
443,Sarjapur  Road,3,1670.0,2.0,57.0,194
444,Ardendale,3,1750.0,3.0,100.0,19
445,Vittasandra,2,1404.0,2.0,71.0,223
446,Hoodi,3,1715.0,2.0,95.0,97
447,Electronic City,1,630.0,1.0,34.65,74
448,Harlur,3,1752.12,3.0,135.0,91
449,Hulimavu,3,1650.0,3.0,78.0,105
450,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,184
452,Sarjapur  Road,2,1346.0,2.0,74.03,194
454,Hormavu,2,1150.0,2.0,55.0,100
457,AECS Layout,3,1620.0,3.0,98.0,9
458,Marathahalli,2,950.0,2.0,46.96,161
460,Harlur,3,2450.0,3.0,120.0,91
462,others,2,850.0,2.0,30.0,230
463,Padmanabhanagar,2,1020.0,2.0,63.0,178
464,Chikkalasandra,2,1100.0,2.0,50.0,59
466,Hebbal,3,1760.0,2.0,130.0,92
467,Ambalipura,3,1800.0,3.0,110.0,12
468,Akshaya Nagar,2,1070.0,2.0,54.0,11
470,Vidyaranyapura,2,1440.0,2.0,95.0,219
471,Amruthahalli,2,900.0,2.0,40.0,14
473,Whitefield,2,1130.0,2.0,42.16,224
475,Kodigehalli,2,1270.0,2.0,98.0,140
476,others,2,1200.0,2.0,62.0,230
477,others,4,4800.0,4.0,235.0,230
478,others,2,1200.0,2.0,74.0,230
479,Subramanyapura,2,929.0,2.0,50.17,205
484,others,3,1464.0,3.0,56.0,230
486,others,4,2000.0,4.0,99.0,230
487,Chikkalasandra,2,1208.0,2.0,49.0,59
488,Hebbal Kempapura,2,1130.0,2.0,60.0,93
489,others,3,1753.0,3.0,120.0,230
492,Hoodi,2,1196.0,2.0,94.42,97
493,5th Phase JP Nagar,2,1150.0,3.0,52.5,4
494,Electronic City,2,1128.0,2.0,63.0,74
495,others,2,1000.0,2.0,53.0,230
496,Yelahanka,2,1035.0,2.0,45.0,226
497,Kereguddadahalli,2,950.0,2.0,32.0,137
498,Bisuvanahalli,3,1075.0,2.0,36.0,46
499,Whitefield,2,1040.0,2.0,48.5,224
500,others,2,720.0,2.0,45.0,230
501,Lingadheeranahalli,3,1511.0,3.0,95.0,154
502,others,3,1300.0,3.0,58.0,230
503,Hoodi,3,1545.0,3.0,68.75,97
504,Shampura,1,375.0,2.0,26.0,199
505,Vidyaranyapura,2,1062.0,2.0,38.0,219
506,others,2,1115.0,2.0,40.0,230
507,JP Nagar,2,1000.0,2.0,35.0,109
508,Kambipura,2,883.0,2.0,45.0,123
509,Sarjapur  Road,2,1195.0,2.0,70.0,194
511,others,1,700.0,1.0,41.0,230
512,Vittasandra,2,1246.0,2.0,67.0,223
515,others,4,1600.0,4.0,80.0,230
516,Haralur Road,4,2805.0,5.0,154.0,90
517,Begur Road,3,1584.0,3.0,65.0,39
519,Hosur Road,3,1175.0,2.0,48.0,104
520,others,3,1595.0,3.0,115.0,230
521,others,2,1353.0,2.0,110.0,230
522,Electronic City,3,1599.0,3.0,125.0,74
523,Whitefield,2,1150.0,2.0,70.0,224
525,KR Puram,2,1155.0,2.0,42.74,115
526,others,1,1200.0,2.0,85.0,230
528,Thanisandra,4,3000.0,4.0,120.0,209
530,Ramagondanahalli,2,1251.0,2.0,47.0,187
531,others,2,1028.0,2.0,45.5,230
532,Arekere,2,1222.0,2.0,45.0,20
533,Bannerghatta Road,3,1170.0,2.0,66.0,34
535,others,3,1385.0,2.0,48.48,230
536,HSR Layout,2,1372.0,2.0,68.0,89
537,Magadi Road,3,1282.0,2.0,49.0,155
540,Kanakpura Road,2,1135.0,2.0,39.73,127
541,Whitefield,3,1768.0,3.0,101.0,224
542,others,3,1325.0,2.0,90.0,230
543,Electronic City,3,1599.0,3.0,99.0,74
544,Whitefield,3,1500.0,3.0,61.95,224
546,Uttarahalli,2,1286.0,2.0,63.0,216
547,Kammanahalli,5,2845.0,5.0,140.0,124
548,others,3,1600.0,2.0,50.0,230
549,Hennur Road,2,1317.5,2.0,63.77,96
551,Munnekollal,2,1102.0,2.0,53.67,164
552,Yelahanka,2,1350.0,2.0,54.0,226
553,Banashankari,3,1200.0,2.0,42.0,26
555,others,2,1800.0,1.0,80.0,230
556,Chikkabanavar,2,950.0,2.0,40.0,58
557,Kanakpura Road,1,525.0,1.0,27.25,127
558,Attibele,2,656.0,2.0,25.0,21
560,others,2,1056.0,2.0,80.0,230
561,Bannerghatta Road,1,595.0,1.0,33.32,34
562,others,2,1080.0,2.0,50.0,230
563,7th Phase JP Nagar,3,2225.0,3.0,160.0,6
565,Electronics City Phase 1,3,1490.0,3.0,84.0,76
567,Sarjapur  Road,3,1550.0,3.0,100.0,194
568,Sarjapur  Road,3,1600.0,3.0,86.0,194
569,others,2,1160.0,2.0,55.0,230
570,Whitefield,4,4144.0,4.0,315.0,224
571,Sarjapur  Road,3,2100.0,3.0,125.0,194
572,Vittasandra,2,1404.0,2.0,69.3,223
574,others,3,1544.0,3.0,120.0,230
575,Banashankari Stage III,3,1305.0,2.0,58.7,28
576,Marathahalli,2,1230.0,2.0,80.0,161
577,others,2,1200.0,2.0,65.0,230
578,Harlur,3,1460.0,3.0,73.0,91
580,Gottigere,2,967.0,2.0,45.0,82
581,others,1,540.0,1.0,36.0,230
582,Hormavu,1,715.0,1.0,46.0,100
585,Mysore Road,2,1020.0,2.0,48.95,166
586,Jigani,2,1020.0,2.0,40.0,113
587,Koramangala,2,1253.0,2.0,102.0,144
588,others,2,1180.0,2.0,42.0,230
589,Nehru Nagar,2,961.0,2.0,38.0,174
590,Kanakapura,3,1419.0,3.0,75.0,126
592,others,2,1600.0,2.0,115.0,230
593,others,1,416.0,1.0,18.5,230
595,HSR Layout,3,1430.0,2.0,65.0,89
596,others,2,1260.0,2.0,45.0,230
597,others,3,1630.0,3.0,85.0,230
598,Sarjapur  Road,3,1249.0,3.0,44.71,194
599,Kalena Agrahara,3,1450.0,2.0,85.0,121
600,Konanakunte,3,2791.0,3.0,223.0,143
602,others,1,834.0,1.0,60.0,230
603,others,3,1125.0,4.0,70.0,230
604,Arekere,3,2060.0,3.0,140.0,20
607,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,184
608,Bisuvanahalli,3,1075.0,2.0,37.0,46
611,Vidyaranyapura,2,1200.0,2.0,55.0,219
612,Thanisandra,2,1075.0,2.0,45.8,209
613,Kaggadasapura,2,1140.0,2.0,40.0,118
616,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,184
617,R.T. Nagar,4,1500.0,4.0,70.0,182
619,Whitefield,3,1790.0,3.0,100.0,224
620,Hebbal,3,1920.0,3.0,134.0,92
621,HRBR Layout,2,1374.0,2.0,95.0,88
622,Bannerghatta Road,3,1445.0,3.0,95.0,34
623,Kanakapura,1,711.0,1.0,36.0,126
624,Tumkur Road,3,1500.0,3.0,95.0,214
625,Whitefield,3,1720.0,3.0,100.0,224
626,others,3,1400.0,3.0,60.0,230
627,Kundalahalli,2,1030.0,2.0,49.0,150
628,Mysore Road,2,1200.0,2.0,85.0,166
629,others,3,1375.0,3.0,70.0,230
630,Hegde Nagar,2,1050.0,1.0,56.0,94
631,Jalahalli,3,2250.0,3.0,160.0,111
632,Bellandur,2,1000.0,2.0,50.0,40
633,others,1,469.0,1.0,25.0,230
634,Marathahalli,4,3800.0,4.0,250.0,161
635,Kambipura,2,883.0,2.0,29.0,123
636,GM Palaya,3,1820.0,2.0,86.0,78
637,Singasandra,3,1440.0,2.0,65.0,201
638,others,6,3600.0,4.0,160.0,230
640,Mahadevpura,2,1225.0,2.0,48.0,156
642,Chikkalasandra,2,875.0,2.0,52.8,59
643,Jalahalli East,1,750.0,1.0,40.0,112
644,6th Phase JP Nagar,2,1180.0,2.0,80.0,5
645,Haralur Road,2,1194.0,2.0,47.0,90
646,Hennur Road,3,1500.0,2.0,62.0,96
647,others,2,1160.0,2.0,52.2,230
650,Sarjapur,2,1128.0,2.0,60.0,193
653,Sarjapur  Road,2,1210.0,2.0,58.0,194
654,Kanakpura Road,3,1100.0,2.0,58.0,127
655,Bommasandra,3,1200.0,3.0,46.0,48
656,Haralur Road,4,3385.0,5.0,260.0,90
657,others,3,1641.0,3.0,66.0,230
658,Horamavu Agara,2,1200.0,2.0,45.0,98
659,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39,184
660,Mahadevpura,3,1720.0,3.0,78.0,156
661,Yelahanka,2,1132.5,2.0,48.13,226
662,Yelahanka,2,1210.0,2.0,45.98,226
664,Bisuvanahalli,3,1075.0,2.0,45.0,46
665,Thanisandra,3,1702.0,3.0,130.0,209
667,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55,184
668,others,3,2072.0,3.0,108.0,230
669,JP Nagar,5,5520.0,2.0,375.0,109
670,others,3,1200.0,2.0,70.0,230
671,others,3,1350.0,3.0,77.0,230
673,others,3,1180.0,2.0,78.34,230
678,Bannerghatta Road,3,1640.0,2.0,120.0,34
680,Kodichikkanahalli,3,1190.0,2.0,57.0,138
682,Marathahalli,2,1019.0,2.0,49.85,161
684,Akshaya Nagar,3,1250.0,3.0,40.0,11
686,Whitefield,2,1140.0,2.0,56.0,224
687,Lingadheeranahalli,3,1683.0,3.0,109.0,154
688,Kaggadasapura,3,1515.0,3.0,83.3,118
689,Hoodi,4,2118.0,4.0,111.0,97
690,Bannerghatta Road,4,1380.0,3.0,58.0,34
691,Varthur Road,2,1083.0,2.0,61.75,218
693,others,3,2300.0,3.0,120.0,230
694,others,2,1240.0,2.0,60.0,230
695,others,3,1750.0,3.0,120.0,230
696,others,2,1230.0,2.0,43.48,230
698,Abbigere,2,985.0,2.0,40.39,10
699,Tindlu,3,1500.0,2.0,87.0,213
701,others,2,950.0,2.0,44.0,230
703,Kothanur,3,1580.0,3.0,76.0,146
706,Hennur Road,3,2264.0,3.0,159.0,96
708,Kammasandra,2,810.0,2.0,24.5,125
709,others,2,1045.0,2.0,45.0,230
710,Hebbal,2,1337.0,2.0,82.0,92
713,Begur Road,3,1500.0,2.0,54.0,39
714,Whitefield,3,1640.0,4.0,91.0,224
715,others,3,1570.0,3.0,62.0,230
